Unnamed: 0,Player Name,Team,Conference,Position,Height,Year,GP,GS,MIN,MPG,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,PTS,PPG,ORB,DRB,TOT RB,RPG,PF,AST,TO,STL,BLK,APG,SPG,DRBPG,ORBPG,BPG,TOPG,eFG,three_share,AST_TOV,FTR,TS_pct,usg,pts_per_40,reb_per_40,ast_per_40,stl_per_40,blk_per_40,tov_per_40,PC1,PC2,PC3,PC4
837,"Martinez, Xavier",Colorado Springs,Rocky Mountain,G,71,Jr.,27,26,838,31.0,115,260,0.442,40,125,0.32,81,105,0.771,351,13.0,16,48,64,2.4,65,137,56,43,1,5.074074074074074,1.5925925925925926,1.7777777777777777,0.5925925925925926,0.037037037037037,2.074074074074074,0.5192307692307693,0.4807692307692308,2.4464285714285716,0.4038461538461538,0.5731548007838014,0.4322195704057279,16.75417661097852,3.0548926014319813,6.5393794749403344,2.052505966587112,0.0477326968973747,2.6730310262529833,-2.1351480322636704,3.1631178882441486,0.6103553539345,0.7307597808223335
838,"Hull, Brody",Colorado Springs,Rocky Mountain,F,78,Fr.,29,29,705,24.3,114,246,0.463,32,99,0.323,98,115,0.852,358,12.3,40,102,142,4.9,81,45,68,44,8,1.5517241379310345,1.5172413793103448,3.5172413793103448,1.3793103448275863,0.2758620689655172,2.3448275862068964,0.5284552845528455,0.4024390243902439,0.6617647058823529,0.4674796747967479,0.6035064059339177,0.5171631205673759,20.31205673758865,8.056737588652483,2.553191489361702,2.49645390070922,0.4539007092198582,3.8581560283687946,1.6222991467668204,1.7747282397333752,0.4186707634784889,-1.2664059964453107
839,"Williams Jr., Mario",Colorado Springs,Rocky Mountain,G,77,So.,29,26,704,24.3,100,244,0.41,39,131,0.298,76,97,0.784,315,10.9,58,35,93,3.2,55,16,16,19,13,0.5517241379310345,0.6551724137931034,1.206896551724138,2.0,0.4482758620689655,0.5517241379310345,0.4897540983606557,0.5368852459016393,1.0,0.3975409836065574,0.5493930514859774,0.4299431818181818,17.897727272727273,5.284090909090909,0.9090909090909092,1.0795454545454546,0.7386363636363636,0.9090909090909092,0.48802301692999356,-1.6877333074661585,0.6849803465264034,0.4182706659031298
841,"McKenzie, Jezza",Colorado Springs,Rocky Mountain,G,76,Jr.,28,28,663,23.7,61,141,0.433,29,66,0.439,44,63,0.698,195,7.0,34,89,123,4.4,52,44,31,26,11,1.5714285714285714,0.9285714285714286,3.1785714285714284,1.2142857142857142,0.3928571428571428,1.1071428571428572,0.5354609929078015,0.4680851063829787,1.4193548387096775,0.4468085106382978,0.5778805120910384,0.301236802413273,11.764705882352942,7.420814479638009,2.654600301659125,1.568627450980392,0.6636500754147813,1.8702865761689291,0.14239457994971635,0.11689261060472297,0.0980507471477354,0.9009705626657696
842,"Carter, Gavin",Colorado Springs,Rocky Mountain,G,74,So.,25,2,383,15.3,65,134,0.485,1,13,0.077,44,70,0.629,175,7.0,17,25,42,1.7,25,27,24,18,2,1.08,0.72,1.0,0.68,0.08,0.96,0.4888059701492537,0.0970149253731343,1.125,0.5223880597014925,0.5309466019417476,0.4929503916449086,18.276762402088774,4.386422976501306,2.819843342036554,1.8798955613577024,0.2088772845953002,2.5065274151436028,-0.10862979079532638,1.189134484501565,-0.728133211401449,-0.9333303303569196
843,"Williams, Shawn",Colorado Springs,Rocky Mountain,F,80,Fr.,29,2,432,14.9,79,142,0.556,0,1,0.0,24,46,0.522,182,6.3,28,86,114,3.9,47,28,35,17,14,0.9655172413793104,0.5862068965517241,2.9655172413793105,0.9655172413793104,0.4827586206896552,1.206896551724138,0.5563380281690141,0.0070422535211267,0.8,0.323943661971831,0.5608974358974359,0.4565740740740741,16.85185185185185,10.555555555555555,2.592592592592593,1.5740740740740742,1.2962962962962965,3.2407407407407405,1.8190622462172013,0.42455823902770395,-0.8087546663327665,-0.5043675594107251
844,"Pranger, Derik",Colorado Springs,Rocky Mountain,F,81,So.,11,1,145,13.2,23,69,0.333,12,41,0.293,11,14,0.786,69,6.3,8,14,22,2.0,13,5,9,2,3,0.4545454545454545,0.1818181818181818,1.2727272727272727,0.7272727272727273,0.2727272727272727,0.8181818181818182,0.4202898550724637,0.5942028985507246,0.5555555555555556,0.2028985507246377,0.4590207557211282,0.5804137931034482,19.03448275862069,6.068965517241379,1.3793103448275863,0.5517241379310345,0.8275862068965517,2.4827586206896552,-0.21708834798307755,-2.044062328133444,-0.21607803777963605,-1.4204451887940603
845,"Hurr, Alex",Colorado Springs,Rocky Mountain,G,76,Jr.,28,0,367,13.1,63,129,0.488,28,73,0.384,20,33,0.606,174,6.2,27,26,53,1.9,32,20,15,10,1,0.7142857142857143,0.3571428571428571,0.9285714285714286,0.9642857142857144,0.0357142857142857,0.5357142857142857,0.5968992248062015,0.5658914728682171,1.3333333333333333,0.2558139534883721,0.6061872909698997,0.4319346049046322,18.96457765667575,5.776566757493188,2.1798365122615806,1.0899182561307903,0.108991825613079,1.6348773841961852,-0.8965521481461975,-0.7702927364817374,1.495533866070945,-0.3304988014614935
847,"McKean, Evan",Colorado Springs,Rocky Mountain,G,76,Fr.,29,3,401,13.8,37,114,0.325,10,44,0.227,25,44,0.568,109,3.8,16,38,54,1.9,39,27,24,24,2,0.9310344827586208,0.8275862068965517,1.3103448275862069,0.5517241379310345,0.0689655172413793,0.8275862068965517,0.3684210526315789,0.3859649122807017,1.125,0.3859649122807017,0.4086682663467306,0.3924189526184539,10.87281795511222,5.386533665835412,2.693266832917706,2.3940149625935163,0.199501246882793,2.3940149625935163,-1.5431071967662044,0.3840083103157169,-2.185781635482291,-0.16577680414008794
854,"Bazil, Pierce",Colorado Christian,Rocky Mountain,G,74,Sr.,28,27,899,32.1,156,357,0.437,53,147,0.361,135,184,0.734,500,17.9,22,77,99,3.5,35,71,73,30,3,2.5357142857142856,1.0714285714285714,2.75,0.7857142857142857,0.1071428571428571,2.607142857142857,0.511204481792717,0.4117647058823529,0.9726027397260274,0.5154061624649859,0.5708283861539867,0.568364849833148,22.246941045606228,4.404894327030034,3.1590656284760845,1.3348164627363737,0.1334816462736373,3.2480533926585093,0.3837749864541385,1.4739282894576369,0.8220584422774783,-1.6406868048723393
855,"Bazil, Porter",Colorado Christian,Rocky Mountain,F,79,Jr.,28,27,780,27.9,111,239,0.464,32,85,0.376,57,84,0.679,311,11.1,31,104,135,4.8,52,58,61,15,30,2.0714285714285716,0.5357142857142857,3.7142857142857144,1.1071428571428572,1.0714285714285714,2.1785714285714284,0.5313807531380753,0.3556485355648535,0.9508196721311476,0.3514644351464435,0.5634874619510074,0.432,15.948717948717947,6.923076923076923,2.9743589743589745,0.7692307692307693,1.5384615384615383,3.128205128205128,1.5309141869381193,-0.08732172752361307,-0.06109845776355856,-0.2442650854919971
856,"Reid , Joshua",Colorado Christian,Rocky Mountain,F,79,Sr.,27,26,545,20.2,105,208,0.505,18,52,0.346,41,54,0.759,269,10.0,47,115,162,6.0,64,30,32,9,7,1.1111111111111112,0.3333333333333333,4.2592592592592595,1.7407407407407407,0.2592592592592592,1.1851851851851851,0.5480769230769231,0.25,0.9375,0.2596153846153846,0.5803417328270625,0.4839633027522935,19.743119266055047,11.889908256880734,2.2018348623853212,0.6605504587155964,0.5137614678899083,2.3486238532110093,1.7815865607906283,-0.3345757834960505,1.0948336937644936,-0.016019594118830246
857,"Reichart, Schafer",Colorado Christian,Rocky Mountain,G,75,Jr.,24,23,728,30.3,58,131,0.443,11,38,0.289,34,54,0.63,161,6.7,34,79,113,4.7,62,63,50,32,4,2.625,1.3333333333333333,3.2916666666666665,1.4166666666666667,0.1666666666666666,2.0833333333333335,0.4847328244274809,0.2900763358778626,1.26,0.4122137404580153,0.5201602481261308,0.2812637362637362,8.846153846153847,6.208791208791209,3.4615384615384617,1.7582417582417584,0.2197802197802198,2.7472527472527473,-0.014981027668657774,1.0316324667179229,-1.2247017358465744,0.5539317761650506
